Chamado,InicioData,InicioHora,NormalizacaoData,NormalizacaooHora,Interrupcao,Funcionalidade,Item de Configuracao,Causa da Falha,Area,Node
54714,2/9/2014, 11:26,2/9/2014, 15:55,4:28:54,Rede Externa,BTD,FUSIVEL QUEIMADO OU COM MAU CONTATO,URA,1
54781,3/9/2014, 08:40,3/9/2014, 11:20,2:39:28,Node,GERAL,FALTA DE ENERGIA COMERCIAL,URA,46
54793,3/9/2014, 12:36,3/9/2014, 15:10,2:33:45,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO,URA,1
54804,3/9/2014, 14:59,3/9/2014, 16:20,1:20:26,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO,URA,11
54819,3/9/2014, 18:27,3/9/2014, 19:35,1:07:07,Rede Externa,PASSIVOS,INSTALADO INCORRETAMENTE,URA,9
54821,3/9/2014, 19:35,3/9/2014, 20:30,0:54:32,Rede Externa,SG2000,MÓDULO RF DESALINHADO CANAL DIRETO,URA,6
54840,4/9/2014, 10:46,4/9/2014, 16:25,5:38:51,Rede Externa,BTD,MÓDULO RF QUEIMADO,URA,39
54841,4/9/2014, 10:50,4/9/2014, 14:05,3:14:49,Rede Externa,BTD,MÓDULO RF QUEIMADO,URA,15
54847,4/9/2014, 11:33,4/9/2014, 14:05,2:31:11,Rede Externa,BTD,MÓDULO RF QUEIMADO,URA,15
54850,4/9/2014, 12:15,4/9/2014, 19:50,7:34:23,Rede Externa,MB,MÓDULO RF QUEIMADO,URA,1
54861,4/9/2014, 15:28,4/9/2014, 16:30,1:01:29,Rede Externa,BTD,MÓDULO RF QUEIMADO,URA,39
54862,4/9/2014, 15:37,4/9/2014, 16:30,0:52:36,Rede Externa,BTD,MÓDULO RF QUEIMADO,URA,39
